#Redshift	Euclid-like (3 × 10−16)	Euclid-like (2 × 10−16)
#Lower limit	Upper limit	Ferrara et al.(1999)	Calzetti et al.(2000)	Charlot & Fall(2000)	Ferrara et al.(1999)	Calzetti et al.(2000)	Charlot & Fall(2000)
flow	fhigh	dN/dz_f3_Ferr	dN/dz_f3_Ferr_err	dN/dz_f3_Cal	dN/dz_f3_Cal_err	dN/dz_f3_Char	dN/dz_f3_Char_err	dN/dz_f2_Ferr	dN/dz_f2_Ferr_err	dN/dz_f2_Cal	dN/dz_f2_Cal_err	dN/dz_f2_Char	dN/dz_f2_Char_err
0.9 	1 	3598	50 	4493	195 	4240	243 	7716	103 	10057	361 	10535	472 
1 	1.1 	3050	40 	3546	169 	3083	200 	6229	100 	8500	344 	8014	523 
1.1 	1.2 	2467	44 	2582	114 	1964	121 	4475	72 	6323	273 	4998	472 
1.2 	1.3 	2537	45 	2409	86 	1689	81 	4225	64 	5463	260 	3931	374 
1.3 	1.4 	2690	43 	2371	76 	1623	78 	4296	71 	5031	221 	3455	246 
1.4 	1.5 	2193	27 	1926	55 	1227	60 	3384	51 	3690	148 	2446	178 
1.5 	1.6 	2238	33 	1890	60 	1093	58 	3500	60 	3387	106 	2078	141 
1.6 	1.7 	2158	31 	1775	49 	1006	49 	3365	51 	3085	106 	1747	113 
1.7 	1.8 	1951	23 	1627	43 	943	44 	3044	44 	2793	77 	1524	108 